FID,country_name,site_name,borehole_name,permafrost_zone,longitude,latitude,elevation,depth,geom_ref,data_start,data_end,responsible_person,responsible_person_name,id_orga
tsp.1160,Russia,Chara,Chara 5301,Continuous,118.3663,56.6761,1155,2,POINT (118.36635 56.67612),,,14,Dmitry Sergueev,7
tsp.1161,United States,Fairbanks,Caribou-Poker/C4,Discontinuous,-147.5017,65.1643,258,30,POINT (-147.5016667 65.16430556),,,100,Kenji Yoshikawa,58
tsp.1162,United States,Juneau,Juneau,Unknown,-134.55,58.4,23,1,POINT (-134.55 58.4),,,100,Kenji Yoshikawa,58
tsp.1163,China,Qinghai,TP-1S(CM2),Discontinuous,93.5336,35.3969,4482,8,POINT (93.53361111 35.39694444),,,46,Qingbai Wu ,24
tsp.1164,Russia,Nadym,ND_skv4_09,Discontinuous,72.8817,65.3225,6,10,POINT (72.88166667 65.3225),,,76,Natalia Moskalenko,43
tsp.1165,Russia,Vaskiny Dachy,VD2,Continuous,68.8835,70.2955,46,1,POINT (68.88347222 70.2955),,,79,Alexander L. Kholodov,5
tsp.1166,Russia,Vaskiny Dachy,VD3,Continuous,68.8413,70.3014,47,1,POINT (68.84130556 70.30138889),,,79,Alexander L. Kholodov,5
tsp.1167,Russia,Vaskiny Dachy,LGT,Continuous,68.8916,70.2811,53,7,POINT (68.89158333 70.28113889),,,79,Alexander L. Kholodov,5
tsp.1168,United States,Juneau,Haines,Unknown,-135.45,59.23,22,1,POINT (-135.45 59.23),,,100,Kenji Yoshikawa,58
tsp.1169,Russia,Vorkuta,105,Continuous,61.5206,67.9598,140,6.5,POINT (61.52058 67.95983),,,83,Naum G. Oberman,46
tsp.1170,Mongolia,Tsengel,Tsengel M10a,Sporadic,89.0808,48.4509,2400,2.8,POINT (89.08084 48.45093),,,62,Natsagdorj Sharkhuu,39
tsp.1171,Mongolia,Tsengel,Tsengel M10b,Sporadic,89.0853,48.4642,2200,5,POINT (89.08529 48.46424),,,62,Natsagdorj Sharkhuu,39
tsp.1172,United States,Sagwon,Sagwon,Continuous,-148.75,69.4167,245,8.5,POINT (-148.75 69.41666667),,,99,Doug L. Kane,56
