FID,country_name,site_name,type,activelayer_name,permafrost_zone,data_start,data_end,longitude,latitude,geom_ref,responsible_person,responsible_person_name,id_orga
calm.97,Russia,Norilsk,Grid,Talnakh,Continuous,2008,2017,88.466,69.433,POINT (88.466 69.433),120,Valery Grebenets,65
calm.98,Russia,Yakutsk,Grid,Neleger,Continuous,2008,2017,129.4997,62.3163,POINT (129.499661 62.316255),118,Pavel Konstantinov,45
calm.99,Russia,Yakutsk,Grid,Tuymada,Continuous,2008,2017,129.657,62.0133,POINT (129.656991 62.013306),118,Pavel Konstantinov,45
calm.100,Russia,Igarka,Grid,Igarka,Continuous,2008,2016,86.435,67.482,POINT (86.435 67.482),121,Fedor Zepalov,45
calm.101,Russia,Tiksi,Grid,Bykovsky Cape Plakor,Continuous,2001,2014,129.4187,71.7855,POINT (129.4186667 71.7855),32,David A. Gilichinsky,14
calm.102,Russia,Tiksi,Grid,Bykovsky Cape Alas,Continuous,2004,2017,129.4014,71.7843,POINT (129.4014333 71.78428333),32,David A. Gilichinsky,14
calm.103,Russia,Cape Svyatoy Nos,Grid,Svyatoy Nos Cape,Continuous,2001,2001,141.0102,72.857,POINT (141.0101667 72.857),32,David A. Gilichinsky,14
calm.104,Russia,Tiksi,Grid,Tiksi,Continuous,1997,2000,128.783,71.583,POINT (128.783 71.583),122,Yuji Kodoma,37
calm.105,Russia,Taymyr,Grid,Levinson Lessing Lake,Continuous,,,98.6,74.53,POINT (98.6 74.53),71,Julia Boike,42
calm.106,Russia,Taymyr,Grid,Labaz Lake,Continuous,,,99.5,72.383,POINT (99.5 72.383),123,Martin Sommerkorn,68
calm.107,Russia,Novyi Urengoy,Grid,Yubileynoe 3 WET,Discontinuous,2007,2007,75.8719,65.9503,POINT (75.8718611 65.95033),74,Anna Kurchatova,44
calm.108,Russia,Novyi Urengoy,Grid,Yubileynoe 3 DRY,Discontinuous,2007,2007,75.8724,65.9508,POINT (75.87238889 65.95083),74,Anna Kurchatova,44
calm.109,Russia,Novyi Urengoy,Grid,Yubileynoe 2 DRY,Discontinuous,2007,2007,75.7802,66.0101,POINT (75.78022 66.01005556),74,Anna Kurchatova,44
